"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 28 08:44:05 GMT 2022","Fri Oct 28 08:44:35 GMT 2022","30021","","Login form for telnyx page","","Login form for telnyx page","Verify log in with correct credentials","Verify log in with correct credentials",""
"passed","Fri Oct 28 08:46:19 GMT 2022","Fri Oct 28 08:46:26 GMT 2022","6163","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Fax link is available in the Products drop menu","Verify that Fax link is available in the Products drop menu",""
"passed","Fri Oct 28 08:44:55 GMT 2022","Fri Oct 28 08:45:02 GMT 2022","7212","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that SMS API link is available in the Products drop menu","Verify that SMS API link is available in the Products drop menu",""
"passed","Fri Oct 28 08:44:37 GMT 2022","Fri Oct 28 08:44:46 GMT 2022","9331","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Elastic SIP Trunking link and Download SIP Trunking pricing are available in the Products drop menu","Verify that Elastic SIP Trunking link and Download SIP Trunking pricing are available in the Products drop menu",""
"passed","Fri Oct 28 08:42:50 GMT 2022","Fri Oct 28 08:42:53 GMT 2022","3016","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify Talk to an expert button is available for users","Verify Talk to an expert button is available for users",""
"passed","Fri Oct 28 08:45:59 GMT 2022","Fri Oct 28 08:46:06 GMT 2022","7080","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Elastic SIP Trunking link and Download SIP Trunking pricing are available in the Products drop menu","Verify that Elastic SIP Trunking link and Download SIP Trunking pricing are available in the Products drop menu",""
"passed","Fri Oct 28 08:44:18 GMT 2022","Fri Oct 28 08:44:22 GMT 2022","4184","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Follow on Facebook link is available for users","Verify that Follow on Facebook link is available for users",""
"passed","Fri Oct 28 08:44:11 GMT 2022","Fri Oct 28 08:44:14 GMT 2022","3608","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Connect on LinkedIn link is available for users","Verify that Connect on LinkedIn link is available for users",""
"passed","Fri Oct 28 08:44:29 GMT 2022","Fri Oct 28 08:44:47 GMT 2022","18450","","Login form for telnyx page","","Login form for telnyx page","Verify log in with wrong credentials","Verify log in with wrong credentials",""
"passed","Fri Oct 28 08:43:11 GMT 2022","Fri Oct 28 08:43:15 GMT 2022","3783","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Follow on Facebook link is available for users","Verify that Follow on Facebook link is available for users",""
"passed","Fri Oct 28 08:46:14 GMT 2022","Fri Oct 28 08:46:19 GMT 2022","5698","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that SMS API link is available in the Products drop menu","Verify that SMS API link is available in the Products drop menu",""
"passed","Fri Oct 28 08:42:55 GMT 2022","Fri Oct 28 08:42:58 GMT 2022","3398","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Products menu is available","Verify that Products menu is available",""
"passed","Fri Oct 28 08:43:57 GMT 2022","Fri Oct 28 08:44:01 GMT 2022","3922","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Mission Control menu is available","Verify that Mission Control menu is available",""
"passed","Fri Oct 28 08:43:01 GMT 2022","Fri Oct 28 08:43:02 GMT 2022","1351","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Company menu is available","Verify that Company menu is available",""
"passed","Fri Oct 28 08:43:02 GMT 2022","Fri Oct 28 08:43:03 GMT 2022","966","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Mission Control menu is available","Verify that Mission Control menu is available",""
"failed","Fri Oct 28 08:45:21 GMT 2022","Fri Oct 28 08:45:51 GMT 2022","29861","","Login form for telnyx page","","Login form for telnyx page","Verify log in with correct credentials","Verify log in with correct credentials",""
"passed","Fri Oct 28 08:43:13 GMT 2022","Fri Oct 28 08:43:19 GMT 2022","5711","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify Support Center link is available for users","Verify Support Center link is available for users",""
"passed","Fri Oct 28 08:45:02 GMT 2022","Fri Oct 28 08:45:09 GMT 2022","6669","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Fax link is available in the Products drop menu","Verify that Fax link is available in the Products drop menu",""
"passed","Fri Oct 28 08:43:32 GMT 2022","Fri Oct 28 08:43:43 GMT 2022","11323","","Login form for telnyx page","","Login form for telnyx page","Verify the forgot password function","Verify the forgot password function",""
"passed","Fri Oct 28 08:43:00 GMT 2022","Fri Oct 28 08:43:01 GMT 2022","1176","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Pricing menu is available","Verify that Pricing menu is available",""
"passed","Fri Oct 28 08:43:56 GMT 2022","Fri Oct 28 08:44:05 GMT 2022","8883","","Login form for telnyx page","","Login form for telnyx page","Verify log in with empty email field","Verify log in with empty email field",""
"passed","Fri Oct 28 08:43:18 GMT 2022","Fri Oct 28 08:43:32 GMT 2022","14123","","Login form for telnyx page","","Login form for telnyx page","Verify log in with wrong credentials","Verify log in with wrong credentials",""
"passed","Fri Oct 28 08:44:47 GMT 2022","Fri Oct 28 08:45:03 GMT 2022","15272","","Login form for telnyx page","","Login form for telnyx page","Verify the forgot password function","Verify the forgot password function",""
"passed","Fri Oct 28 08:45:03 GMT 2022","Fri Oct 28 08:45:13 GMT 2022","10011","","Login form for telnyx page","","Login form for telnyx page","Verify log in with empty password field","Verify log in with empty password field",""
"passed","Fri Oct 28 08:42:58 GMT 2022","Fri Oct 28 08:43:00 GMT 2022","1549","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Resources menu is available","Verify that Resources menu is available",""
"passed","Fri Oct 28 08:44:14 GMT 2022","Fri Oct 28 08:44:18 GMT 2022","3670","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Follow on Twitter link is available for users","Verify that Follow on Twitter link is available for users",""
"passed","Fri Oct 28 08:43:52 GMT 2022","Fri Oct 28 08:43:57 GMT 2022","4952","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Company menu is available","Verify that Company menu is available",""
"passed","Fri Oct 28 08:43:36 GMT 2022","Fri Oct 28 08:43:44 GMT 2022","8308","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Products menu is available","Verify that Products menu is available",""
"passed","Fri Oct 28 08:42:48 GMT 2022","Fri Oct 28 08:42:50 GMT 2022","2202","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify Support Center link is available for users","Verify Support Center link is available for users",""
"passed","Fri Oct 28 08:43:44 GMT 2022","Fri Oct 28 08:43:48 GMT 2022","3856","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Resources menu is available","Verify that Resources menu is available",""
"passed","Fri Oct 28 08:43:08 GMT 2022","Fri Oct 28 08:43:11 GMT 2022","2944","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Follow on Twitter link is available for users","Verify that Follow on Twitter link is available for users",""
"passed","Fri Oct 28 08:43:00 GMT 2022","Fri Oct 28 08:43:13 GMT 2022","13769","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify that Call us button is available for users","Verify that Call us button is available for users",""
"passed","Fri Oct 28 08:43:04 GMT 2022","Fri Oct 28 08:43:08 GMT 2022","3998","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Connect on LinkedIn link is available for users","Verify that Connect on LinkedIn link is available for users",""
"passed","Fri Oct 28 08:43:48 GMT 2022","Fri Oct 28 08:43:52 GMT 2022","3944","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Pricing menu is available","Verify that Pricing menu is available",""
"passed","Fri Oct 28 08:44:46 GMT 2022","Fri Oct 28 08:44:55 GMT 2022","9257","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Voice API link and Calculate your savings are available in the Products drop menu","Verify that Voice API link and Calculate your savings are available in the Products drop menu",""
"passed","Fri Oct 28 08:45:13 GMT 2022","Fri Oct 28 08:45:21 GMT 2022","8330","","Login form for telnyx page","","Login form for telnyx page","Verify log in with empty email field","Verify log in with empty email field",""
"passed","Fri Oct 28 08:43:43 GMT 2022","Fri Oct 28 08:43:56 GMT 2022","12626","","Login form for telnyx page","","Login form for telnyx page","Verify log in with empty password field","Verify log in with empty password field",""
"passed","Fri Oct 28 08:42:44 GMT 2022","Fri Oct 28 08:42:48 GMT 2022","3549","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify that Call us button is available for users","Verify that Call us button is available for users",""
"passed","Fri Oct 28 08:46:06 GMT 2022","Fri Oct 28 08:46:14 GMT 2022","7591","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Voice API link and Calculate your savings are available in the Products drop menu","Verify that Voice API link and Calculate your savings are available in the Products drop menu",""
"passed","Fri Oct 28 08:43:19 GMT 2022","Fri Oct 28 08:43:24 GMT 2022","5451","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify Talk to an expert button is available for users","Verify Talk to an expert button is available for users",""
